ts	total_used_MiB	s1_MiB	s2_MiB	s3_MiB
11:13:00	13259	7022	4114	0
11:14:01	11473	7022	2328	0
11:15:06	6689	2238	2328	0
11:16:06	9647	2238	5286	0
11:17:07	13313	5902	5288	0
11:18:07	13313	5902	5288	0
11:19:08	10353	5902	2328	0
11:20:09	15599	5902	7574	0
11:21:09	11983	2238	7622	0
11:22:10	16179	6434	7622	0
11:23:10	16181	6436	7622	0
11:24:10	15007	6436	6448	0
11:25:10	14435	5864	6448	0
11:26:10	13261	5864	5274	0
11:27:10	13291	5892	5276	0
11:28:10	14461	5892	6446	0
11:29:11	14461	5892	6446	0
11:30:12	10807	2238	6446	0
11:31:12	15015	6446	6446	0
11:32:12	15105	6446	6536	0
11:33:12	10897	2238	6536	0
11:34:12	13781	6476	5182	0
11:35:13	9599	2238	5238	0
11:36:13	10355	5904	2328	0
11:37:13	12101	5904	4074	0
11:38:14	12101	5904	4074	0
11:39:15	8435	2238	4074	0
11:40:15	12577	6494	3960	0
11:41:15	13859	6494	5242	0
11:42:15	9653	5170	2328	0
11:43:15	12533	5170	5240	0
11:44:16	9601	2238	5240	0
11:45:16	11435	5248	4064	0
11:46:17	11435	5248	4064	0
11:47:18	11435	5248	4064	0
11:48:19	8425	2238	4064	0
11:49:19	6689	2238	2328	0
11:50:20	12625	5220	5282	0
11:51:20	12625	5220	5282	0
11:52:21	12625	5220	5282	0
11:53:21	12625	5220	5282	0
11:54:22	6689	2238	2328	0
11:55:22	10813	4644	4046	0
11:56:22	10813	4644	4046	0
11:57:23	6689	2238	2328	0
11:58:23	14369	5884	6362	0
11:59:23	14369	5884	6362	0
12:00:24	6689	2238	2328	0
12:01:25	15533	7002	6408	0
12:02:25	15583	7052	6408	0
12:03:25	15585	7054	6408	0
12:04:26	6689	2238	2328	0
12:05:26	10735	4598	4014	0
12:06:26	10735	4598	4014	0
12:07:26	6689	2238	2328	0
12:08:27	14239	5760	6356	0
12:09:27	14239	5760	6356	0
12:10:28	14239	5760	6356	0
12:11:28	6689	2238	2328	0
12:12:28	13193	5834	5236	0
12:13:28	13193	5834	5236	0
12:14:28	13573	5182	6268	0
12:15:28	13573	5182	6268	0
12:16:29	13607	5184	6268	0
12:17:30	6689	2238	2328	0
12:18:31	13083	5768	5192	0
12:19:31	13131	5816	5192	0
12:20:31	13133	5818	5192	0
12:21:32	13133	5818	5192	0
12:22:32	6753	2306	2328	0
12:23:32	13167	5902	5142	0
12:24:32	13167	5902	5142	0
12:25:33	13749	7636	3990	0
12:26:33	13751	7638	3990	0
12:27:33	13751	7638	3990	0
12:28:34	6689	2238	2328	0
12:29:35	11899	5780	3996	0
12:30:35	11949	5830	3996	0
12:31:36	11949	5830	3996	0
12:32:36	11949	5830	3996	0
12:33:39	6689	2238	2328	0
12:34:39	6689	2238	2328	0
12:35:40	13651	5218	6310	0
12:36:41	13651	5218	6310	0
12:37:41	13651	5218	6310	0
12:38:41	8289	2238	3928	0
12:39:41	12515	5252	5140	0
12:40:41	12515	5252	5140	0
12:41:42	12897	4620	6154	0
12:42:42	12897	4620	6154	0
12:43:42	12897	4620	6154	0
12:44:47	9071	4620	2328	0
12:45:47	6863	2238	2508	0
12:46:48	13655	6498	5034	0
12:47:49	13655	6498	5034	0
12:48:49	10949	6498	2328	0
12:49:49	11841	4664	5054	0
12:50:49	11841	4664	5054	0
12:51:49	9371	2238	5010	0
12:52:49	11795	4660	5012	0
12:53:50	11795	4660	5012	0
12:54:50	9111	4660	2328	0
12:55:51	9441	2238	5080	0
12:56:52	14311	7066	5122	0
12:57:52	14311	7066	5122	0
12:58:53	14311	7066	5122	0
12:59:54	11517	7066	2328	0
13:00:55	6689	2238	2328	0
13:01:55	11231	5228	3880	0
13:02:55	11231	5228	3880	0
13:03:56	12517	6430	3964	0
13:04:56	12563	6476	3964	0
13:05:57	6737	2238	2408	0
13:06:57	14727	6412	6192	0
13:07:58	14727	6412	6192	0
13:08:58	14727	6412	6192	0
13:09:59	14727	6412	2328	0
13:11:00	6917	2238	2560	0
13:12:00	12397	5212	5062	0
13:13:01	12397	5212	5062	0
13:14:02	12397	5212	5062	0
13:15:08	6689	2238	2328	0
13:16:09	6689	2238	2328	0
13:17:09	13051	5888	5040	0
13:18:09	13051	5888	5040	0
13:19:11	9401	2238	5040	0
13:20:11	14175	6988	5064	0
13:21:11	14175	6988	5064	0
13:22:12	6689	2238	2328	0
13:23:12	10769	4676	3970	0
13:24:13	10769	4676	3970	0
13:25:13	10769	4676	3970	0
13:26:16	6689	2238	2328	0
13:27:17	6689	2238	2328	0
13:28:18	11947	5846	3978	0
13:29:18	11947	5846	3978	0
13:30:19	11949	5848	3978	0
13:31:19	4361	2238	0	0
13:32:19	6825	4702	0	0
13:33:19	3541	0	0	1418
13:34:20	5813	0	0	3690
13:35:20	6317	0	0	4194
13:36:21	6317	0	0	4194
13:37:21	4425	0	0	2302
13:38:23	4555	0	0	2436
13:39:24	7161	0	0	5038
13:40:25	7163	0	0	5040
13:41:26	7163	0	0	5040
13:42:27	7163	0	0	5040
13:43:28	4425	0	0	2302
13:44:30	4457	0	0	2302
13:45:31	4481	0	0	2370
13:46:32	6501	0	0	4378
13:47:32	6501	0	0	4378
13:48:32	4425	0	0	2302
13:49:33	8153	0	0	6030
13:50:33	8153	0	0	6030
13:51:34	8153	0	0	6030
13:52:35	4425	0	0	2302
13:53:36	4479	0	0	2364
13:54:36	8251	0	0	6128
13:55:36	6565	0	0	4442
