ts,pid,mib,cfg,epoch,bodies_mean,n_bodies
1788523308,2408014,7450,rtg_e31_s2,6,18.5,21
1788523308,2408103,4756,rtg_e31_s3,5,17.4,20
1788523310,2408014,7450,rtg_e31_s2,6,18.5,21
1788523310,2408103,4756,rtg_e31_s3,5,17.4,20
1788523312,2408014,7450,rtg_e31_s2,7,18.95,22
1788523312,2408103,4756,rtg_e31_s3,6,18.15,20
1788523314,2408014,7450,rtg_e31_s2,7,18.95,22
1788523314,2408103,4756,rtg_e31_s3,6,18.15,20
1788523316,2408014,7450,rtg_e31_s2,7,18.95,22
1788523316,2408103,4756,rtg_e31_s3,6,18.15,20
1788523318,2408014,7450,rtg_e31_s2,7,18.95,22
1788523318,2408103,4756,rtg_e31_s3,6,18.15,20
1788523320,2408014,7450,rtg_e31_s2,7,18.95,22
1788523320,2408103,4756,rtg_e31_s3,6,18.15,20
1788523322,2408014,7450,rtg_e31_s2,7,18.95,22
1788523322,2408103,4756,rtg_e31_s3,6,18.15,20
1788523324,2408014,7450,rtg_e31_s2,7,18.95,22
1788523324,2408103,4756,rtg_e31_s3,6,18.15,20
1788523326,2408014,7450,rtg_e31_s2,7,18.95,22
1788523326,2408103,4756,rtg_e31_s3,6,18.15,20
1788523328,2408014,7450,rtg_e31_s2,7,18.95,22
1788523328,2408103,4756,rtg_e31_s3,6,18.15,20
1788523330,2408014,7450,rtg_e31_s2,7,18.95,22
1788523330,2408103,4756,rtg_e31_s3,6,18.15,20
1788523333,2408014,7450,rtg_e31_s2,7,18.95,22
1788523333,2408103,4756,rtg_e31_s3,6,18.15,20
1788523335,2408014,7450,rtg_e31_s2,7,18.95,22
1788523335,2408103,4756,rtg_e31_s3,6,18.15,20
1788523337,2408014,7450,rtg_e31_s2,7,18.95,22
1788523337,2408103,4756,rtg_e31_s3,6,18.15,20
1788523339,2408014,7450,rtg_e31_s2,7,18.95,22
1788523339,2408103,4756,rtg_e31_s3,6,18.15,20
1788523341,2408014,7450,rtg_e31_s2,7,18.95,22
1788523341,2408103,4756,rtg_e31_s3,6,18.15,20
1788523343,2408014,7450,rtg_e31_s2,7,18.95,22
1788523343,2408103,4756,rtg_e31_s3,6,18.15,20
1788523345,2408014,7450,rtg_e31_s2,7,18.95,22
1788523345,2408103,4756,rtg_e31_s3,6,18.15,20
1788523347,2408014,7450,rtg_e31_s2,7,18.95,22
1788523347,2408103,4756,rtg_e31_s3,6,18.15,20
1788523349,2408014,7450,rtg_e31_s2,7,18.95,22
1788523349,2408103,4756,rtg_e31_s3,6,18.15,20
1788523351,2408014,7450,rtg_e31_s2,7,18.95,22
1788523351,2408103,4756,rtg_e31_s3,6,18.15,20
1788523353,2408014,7450,rtg_e31_s2,7,18.95,22
1788523353,2408103,4756,rtg_e31_s3,6,18.15,20
1788523355,2408014,7450,rtg_e31_s2,7,18.95,22
1788523355,2408103,4756,rtg_e31_s3,6,18.15,20
1788523357,2408014,7450,rtg_e31_s2,7,18.95,22
1788523357,2408103,4756,rtg_e31_s3,6,18.15,20
1788523359,2408014,7450,rtg_e31_s2,7,18.95,22
1788523359,2408103,4756,rtg_e31_s3,6,18.15,20
1788523362,2408014,7450,rtg_e31_s2,7,18.95,22
1788523362,2408103,4756,rtg_e31_s3,6,18.15,20
1788523364,2408014,7450,rtg_e31_s2,7,18.95,22
1788523364,2408103,4756,rtg_e31_s3,6,18.15,20
1788523366,2408014,7450,rtg_e31_s2,7,18.95,22
1788523366,2408103,4756,rtg_e31_s3,6,18.15,20
1788523368,2408014,7450,rtg_e31_s2,7,18.95,22
1788523368,2408103,4756,rtg_e31_s3,6,18.15,20
1788523370,2408014,7450,rtg_e31_s2,7,18.95,22
1788523370,2408103,4756,rtg_e31_s3,6,18.15,20
1788523372,2408014,7450,rtg_e31_s2,7,18.95,22
1788523372,2408103,4756,rtg_e31_s3,6,18.15,20
1788523374,2408014,7450,rtg_e31_s2,7,18.95,22
1788523374,2408103,4756,rtg_e31_s3,6,18.15,20
1788523376,2408014,7450,rtg_e31_s2,7,18.95,22
1788523376,2408103,2690,rtg_e31_s3,6,18.15,20
1788523379,2408014,7450,rtg_e31_s2,7,18.95,22
1788523379,2408103,2690,rtg_e31_s3,6,18.15,20
1788523381,2408014,7450,rtg_e31_s2,7,18.95,22
1788523381,2408103,2690,rtg_e31_s3,6,18.15,20
1788523383,2408014,7450,rtg_e31_s2,7,18.95,22
1788523383,2408103,2690,rtg_e31_s3,6,18.15,20
1788523385,2408014,7450,rtg_e31_s2,7,18.95,22
1788523385,2408103,2690,rtg_e31_s3,6,18.15,20
1788523387,2408014,7450,rtg_e31_s2,7,18.95,22
1788523387,2408103,2690,rtg_e31_s3,6,18.15,20
1788523389,2408014,7450,rtg_e31_s2,7,18.95,22
1788523389,2408103,2690,rtg_e31_s3,6,18.15,20
1788523391,2408014,7450,rtg_e31_s2,7,18.95,22
1788523391,2408103,2690,rtg_e31_s3,6,18.15,20
1788523393,2408014,7450,rtg_e31_s2,7,18.95,22
1788523393,2408103,2690,rtg_e31_s3,6,18.15,20
1788523395,2408014,7450,rtg_e31_s2,7,18.95,22
1788523395,2408103,2690,rtg_e31_s3,6,18.15,20
1788523398,2408014,7450,rtg_e31_s2,7,18.95,22
1788523398,2408103,2690,rtg_e31_s3,6,18.15,20
1788523400,2408014,7450,rtg_e31_s2,7,18.95,22
1788523400,2408103,2690,rtg_e31_s3,6,18.15,20
1788523403,2408014,7450,rtg_e31_s2,7,18.95,22
1788523403,2408103,2690,rtg_e31_s3,6,18.15,20
1788523405,2408014,7450,rtg_e31_s2,7,18.95,22
1788523405,2408103,2690,rtg_e31_s3,6,18.15,20
1788523407,2408014,7450,rtg_e31_s2,7,18.95,22
1788523407,2408103,2690,rtg_e31_s3,6,18.15,20
1788523409,2408014,7450,rtg_e31_s2,7,18.95,22
1788523409,2408103,2690,rtg_e31_s3,6,18.15,20
1788523411,2408014,7450,rtg_e31_s2,7,18.95,22
1788523411,2408103,2690,rtg_e31_s3,6,18.15,20
1788523413,2408014,2594,rtg_e31_s2,7,18.95,22
1788523413,2408103,2690,rtg_e31_s3,6,18.15,20
1788523415,2408014,2594,rtg_e31_s2,7,18.95,22
1788523415,2408103,2690,rtg_e31_s3,6,18.15,20
1788523418,2408014,2594,rtg_e31_s2,7,18.95,22
1788523418,2408103,2690,rtg_e31_s3,6,18.15,20
1788523420,2408014,2594,rtg_e31_s2,7,18.95,22
1788523420,2408103,2690,rtg_e31_s3,6,18.15,20
1788523422,2408014,2594,rtg_e31_s2,7,18.95,22
1788523422,2408103,2690,rtg_e31_s3,6,18.15,20
1788523424,2408014,2594,rtg_e31_s2,7,18.95,22
1788523424,2408103,2714,rtg_e31_s3,6,18.15,20
1788523426,2408014,2594,rtg_e31_s2,7,18.95,22
1788523426,2408103,2982,rtg_e31_s3,6,18.15,20
1788523428,2408014,2594,rtg_e31_s2,7,18.95,22
1788523428,2408103,7760,rtg_e31_s3,6,18.15,20
1788523430,2408014,2594,rtg_e31_s2,7,18.95,22
1788523430,2408103,7834,rtg_e31_s3,6,18.15,20
1788523432,2408014,2594,rtg_e31_s2,8,17.2,24
1788523432,2408103,7834,rtg_e31_s3,7,17.7,21
1788523434,2408014,2594,rtg_e31_s2,8,17.2,24
1788523434,2408103,7834,rtg_e31_s3,7,17.7,21
1788523436,2408014,2594,rtg_e31_s2,8,17.2,24
1788523436,2408103,7834,rtg_e31_s3,7,17.7,21
1788523438,2408014,2594,rtg_e31_s2,8,17.2,24
1788523438,2408103,7836,rtg_e31_s3,7,17.7,21
1788523441,2408014,2594,rtg_e31_s2,8,17.2,24
1788523441,2408103,7836,rtg_e31_s3,7,17.7,21
1788523443,2408014,2594,rtg_e31_s2,8,17.2,24
1788523443,2408103,7836,rtg_e31_s3,7,17.7,21
1788523445,2408014,2594,rtg_e31_s2,8,17.2,24
1788523445,2408103,7836,rtg_e31_s3,7,17.7,21
1788523447,2408014,2594,rtg_e31_s2,8,17.2,24
1788523447,2408103,7836,rtg_e31_s3,7,17.7,21
1788523449,2408014,2594,rtg_e31_s2,8,17.2,24
1788523449,2408103,7836,rtg_e31_s3,7,17.7,21
1788523451,2408014,2878,rtg_e31_s2,8,17.2,24
1788523451,2408103,7836,rtg_e31_s3,7,17.7,21
1788523453,2408014,7692,rtg_e31_s2,8,17.2,24
1788523453,2408103,7836,rtg_e31_s3,7,17.7,21
1788523455,2408014,7696,rtg_e31_s2,8,17.2,24
1788523455,2408103,7836,rtg_e31_s3,7,17.7,21
1788523457,2408014,7766,rtg_e31_s2,8,17.2,24
1788523457,2408103,7836,rtg_e31_s3,7,17.7,21
1788523459,2408014,7766,rtg_e31_s2,8,17.2,24
1788523459,2408103,7836,rtg_e31_s3,7,17.7,21
1788523461,2408014,7766,rtg_e31_s2,8,17.2,24
1788523461,2408103,7836,rtg_e31_s3,7,17.7,21
1788523463,2408014,7766,rtg_e31_s2,8,17.2,24
1788523463,2408103,7836,rtg_e31_s3,7,17.7,21
1788523465,2408014,7766,rtg_e31_s2,8,17.2,24
1788523465,2408103,7836,rtg_e31_s3,7,17.7,21
1788523468,2408014,7766,rtg_e31_s2,8,17.2,24
1788523468,2408103,7836,rtg_e31_s3,7,17.7,21
1788523470,2408014,7766,rtg_e31_s2,8,17.2,24
1788523470,2408103,7836,rtg_e31_s3,7,17.7,21
1788523472,2408014,7766,rtg_e31_s2,8,17.2,24
1788523472,2408103,7836,rtg_e31_s3,7,17.7,21
1788523474,2408014,7766,rtg_e31_s2,8,17.2,24
1788523474,2408103,7836,rtg_e31_s3,7,17.7,21
1788523476,2408014,7766,rtg_e31_s2,8,17.2,24
1788523476,2408103,7836,rtg_e31_s3,7,17.7,21
1788523478,2408014,7766,rtg_e31_s2,8,17.2,24
1788523478,2408103,7836,rtg_e31_s3,7,17.7,21
1788523480,2408014,7766,rtg_e31_s2,8,17.2,24
1788523480,2408103,7836,rtg_e31_s3,7,17.7,21
1788523482,2408014,7766,rtg_e31_s2,8,17.2,24
1788523482,2408103,7836,rtg_e31_s3,7,17.7,21
1788523484,2408014,7766,rtg_e31_s2,8,17.2,24
1788523484,2408103,7836,rtg_e31_s3,7,17.7,21
1788523486,2408014,7766,rtg_e31_s2,8,17.2,24
1788523486,2408103,7836,rtg_e31_s3,7,17.7,21
1788523488,2408014,7766,rtg_e31_s2,8,17.2,24
