epoch,alpha,n_bodies,n_motors,mass,limb_len_mean,limb_len_sum,gear_mean,max_depth,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,step_share_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,eval_design_fail_rate,r_fall_return,r_fwd_return
0,1.0,6,0,0.5094152954299698,0.282555758963019,1.412778794815095,0.0,2,d7d1805eecbc,20,0.05,13.75,,,,,,0,,,,,,,
1,0.999615999999017,7,0,0.5453501320156905,0.28203098684293776,1.6921859210576264,0.0,2,4c1ed159240d,20,0.05,14.0,,,,,,0,,,,,,,
2,0.9992319999980339,7,0,0.5448667098642592,0.2818462433657983,1.6910774601947896,0.0,2,4c1ed159240d,20,0.05,12.45,,,,,,0,,,,,,,
3,0.9988479999970509,8,0,0.5822275492148341,0.2834847667517525,1.9843933672622673,0.0,2,cfb66a12d5ce,20,0.05,12.15,,,,,,0,,,,,,,
4,0.9984639999960678,7,0,0.5462872846132343,0.2845113433801841,1.7070680602811046,0.0,2,0eca6584f86a,19,0.1,10.3,,,,,,0,1.0,0.0,0.009979180451103197,21.193543467701424,0.0,,0.7519599181749218
5,0.9980799999950848,6,0,0.5096697955166171,0.28383437717931126,1.4191718858965563,0.0,2,9a9129e64c83,20,0.05,9.75,,,,,,0,,,,,,,
6,0.9976959999941017,7,0,0.5465733764861748,0.2843595295432082,1.7061571772592492,0.0,2,0eca6584f86a,20,0.05,9.55,,,,,,0,,,,,,,
7,0.9973119999931187,6,0,0.5095937103810055,0.2822905422853857,1.4114527114269284,0.0,2,9a9129e64c83,19,0.1,8.1,,,,,,0,,,,,,,
8,0.9969279999921357,6,0,0.5088529588513169,0.28112265806902925,1.4056132903451464,0.0,2,9a9129e64c83,18,0.1,9.0,,,,,,0,,,,,,,
9,0.9965439999911526,6,0,0.5097812943522525,0.28249880646772546,1.4124940323386272,0.0,2,9a9129e64c83,20,0.05,9.25,,,,,,0,1.0,0.0,0.010074180258699116,21.19906775958424,0.0,,0.7516286413379796
10,0.9961599999901696,6,0,0.5091588340022846,0.28204331906487823,1.4102165953243913,0.0,2,9a9129e64c83,17,0.15,9.25,,,,,,0,,,,,,,
11,0.9957759999891865,6,0,0.5096910476255188,0.2825773276318307,1.4128866381591534,0.0,2,9a9129e64c83,17,0.1,7.9,,,,,,0,,,,,,,
12,0.9953919999882035,6,0,0.5094028747335861,0.282342934436554,1.41171467218277,0.0,2,9a9129e64c83,19,0.1,8.8,,,,,,0,,,,,,,
13,0.9950079999872204,6,0,0.5100650328374999,0.28304240889033777,1.415212044451689,0.0,2,9a9129e64c83,18,0.1,7.95,,,,,,0,,,,,,,
14,0.9946239999862374,6,0,0.5105116020741024,0.2834330792873541,1.4171653964367705,0.0,2,9a9129e64c83,17,0.1,8.15,,,,,,0,1.0,0.0,0.010071714261384802,21.198933747225933,0.0,,0.7515285512146582
15,0.9942399999852544,7,0,0.5475277527342401,0.28249376293056794,1.6949625775834076,0.0,2,4c1ed159240d,18,0.15,8.15,,,,,,0,,,,,,,
16,0.9938559999842713,6,0,0.5112197684025092,0.2823410937079628,1.4117054685398138,0.0,2,d7d1805eecbc,19,0.1,8.55,,,,,,0,,,,,,,
17,0.9934719999832883,7,0,0.5468814150997895,0.2820255085835395,1.6921530515012368,0.0,2,4c1ed159240d,19,0.1,8.75,,,,,,0,,,,,,,
18,0.9930879999823052,7,0,0.5470121077591471,0.28219719936510773,1.6931831961906465,0.0,2,4c1ed159240d,20,0.05,9.75,,,,,,0,,,,,,,
19,0.9927039999813222,7,0,0.5476207689920355,0.2823790308400523,1.6942741850403138,0.0,2,4c1ed159240d,19,0.1,8.8,0.015,1,0.015,0.0,0.0,0,1.0,0.0,0.010019104039254123,21.199601777747663,0.0,,0.7520394762778642
