timestamp,user_pct,system_pct,idle_pct,load_avg_1m,load_avg_5m,load_avg_15m
2025-04-20 11:30:58,5.6,10.6,83.6,10.62,28.53,31.06
2025-04-20 11:31:00,6.7,5.8,87.4,10.62,28.53,31.06
2025-04-20 11:31:02,2.8,10.2,87.0,14.98,29.14,31.24
2025-04-20 11:31:04,4.0,9.7,86.2,14.98,29.14,31.24
2025-04-20 11:31:06,3.5,10.0,86.5,19.46,29.84,31.46
2025-04-20 11:31:08,2.8,7.2,90.0,19.46,29.84,31.46
2025-04-20 11:31:10,6.3,11.1,82.5,19.46,29.84,31.46
2025-04-20 11:31:12,3.0,13.1,83.7,20.55,29.89,31.47
2025-04-20 11:31:15,2.6,1.8,95.5,20.55,29.89,31.47
2025-04-20 11:31:17,2.7,2.5,94.7,21.78,29.99,31.49
2025-04-20 11:31:19,2.3,2.1,95.5,21.78,29.99,31.49
2025-04-20 11:31:20,3.7,2.3,93.9,21.78,29.99,31.49
2025-04-20 11:31:22,3.1,3.9,92.9,25.49,30.62,31.69
2025-04-20 11:31:24,3.9,2.5,93.4,25.49,30.62,31.69
2025-04-20 11:31:25,4.5,2.4,92.9,25.49,30.62,31.69
2025-04-20 11:31:27,3.4,1.8,94.7,25.53,30.54,31.66
2025-04-20 11:31:29,2.4,1.8,95.7,25.53,30.54,31.66
2025-04-20 11:31:30,5.4,2.2,92.3,25.53,30.54,31.66
2025-04-20 11:31:32,2.5,1.9,95.5,27.41,30.85,31.75
2025-04-20 11:31:34,2.6,2.0,95.3,27.41,30.85,31.75
2025-04-20 11:31:35,3.4,2.4,93.9,27.41,30.85,31.75
2025-04-20 11:31:37,2.5,3.0,94.3,29.78,31.29,31.88
2025-04-20 11:31:38,2.8,4.3,92.7,29.78,31.29,31.88
2025-04-20 11:31:40,1.7,4.7,93.3,29.78,31.29,31.88
2025-04-20 11:31:41,1.4,5.1,93.4,29.78,31.29,31.88
2025-04-20 11:31:43,0.9,11.8,87.2,35.64,32.48,32.27
2025-04-20 11:31:44,1.1,11.1,87.8,35.64,32.48,32.27
2025-04-20 11:31:46,0.6,11.2,88.1,37.51,32.92,32.41
2025-04-20 11:31:48,0.6,11.2,88.1,37.51,32.92,32.41
2025-04-20 11:31:50,2.4,10.9,86.7,37.51,32.92,32.41
2025-04-20 11:31:52,1.7,11.9,86.4,35.47,32.57,32.30
2025-04-20 11:31:54,1.2,11.4,87.4,35.47,32.57,32.30
2025-04-20 11:31:56,1.4,13.4,85.2,35.47,32.57,32.30
2025-04-20 11:31:58,1.0,12.2,86.7,42.24,34.02,32.77
2025-04-20 11:32:00,1.1,9.9,88.9,42.24,34.02,32.77
2025-04-20 11:32:02,1.5,11.7,86.7,43.50,34.42,32.91
2025-04-20 11:32:04,2.5,13.6,83.8,43.50,34.42,32.91
2025-04-20 11:32:06,2.3,11.3,86.4,43.50,34.42,32.91
2025-04-20 11:32:08,1.0,11.1,87.9,46.66,35.23,33.18
2025-04-20 11:32:10,1.3,12.5,86.0,46.66,35.23,33.18
2025-04-20 11:32:12,1.1,10.9,87.9,46.53,35.39,33.24
2025-04-20 11:32:14,0.9,10.6,88.4,46.53,35.39,33.24
2025-04-20 11:32:16,1.9,12.7,85.3,46.53,35.39,33.24
2025-04-20 11:32:18,8.4,14.1,77.5,43.12,34.87,33.08
2025-04-20 11:32:19,11.7,9.3,79.0,43.12,34.87,33.08
2025-04-20 11:32:21,10.2,13.2,76.6,43.12,34.87,33.08
2025-04-20 11:32:23,9.1,12.2,78.6,53.85,37.23,33.86
2025-04-20 11:32:25,9.0,16.2,74.8,53.85,37.23,33.86
2025-04-20 11:32:27,8.9,12.0,79.0,59.30,38.63,34.33
2025-04-20 11:32:29,9.0,14.0,76.9,59.30,38.63,34.33
2025-04-20 11:32:30,11.0,14.1,74.9,59.30,38.63,34.33
2025-04-20 11:32:32,9.8,13.6,76.6,61.12,39.35,34.59
2025-04-20 11:32:34,10.2,15.9,73.9,61.12,39.35,34.59
2025-04-20 11:32:36,11.5,12.1,76.3,61.12,39.35,34.59
2025-04-20 11:32:38,11.7,11.9,76.3,63.27,40.16,34.87
2025-04-20 11:32:39,11.3,11.8,76.8,63.27,40.16,34.87
2025-04-20 11:32:41,11.3,11.2,77.4,63.27,40.16,34.87
2025-04-20 11:32:42,10.3,12.6,77.0,63.65,40.62,35.05
2025-04-20 11:32:44,13.0,10.3,76.6,63.65,40.62,35.05
2025-04-20 11:32:45,15.5,12.5,71.8,63.65,40.62,35.05
2025-04-20 11:32:47,12.4,10.0,77.4,74.09,43.17,35.91
2025-04-20 11:32:48,11.8,9.2,78.7,74.09,43.17,35.91
2025-04-20 11:32:49,13.4,6.8,79.7,74.09,43.17,35.91
