timestamp,user_pct,system_pct,idle_pct,load_avg_1m,load_avg_5m,load_avg_15m
2025-04-20 11:21:35,1.1,0.7,98.2,34.60,19.20,22.82
2025-04-20 11:21:36,2.1,0.8,97.1,34.60,19.20,22.82
2025-04-20 11:21:37,1.6,1.7,96.7,32.15,18.94,22.72
2025-04-20 11:21:39,2.1,0.9,97.0,32.15,18.94,22.72
2025-04-20 11:21:40,2.0,0.7,97.3,32.15,18.94,22.72
2025-04-20 11:21:41,1.4,2.4,96.2,32.15,18.94,22.72
2025-04-20 11:21:42,2.0,0.7,97.3,29.97,18.71,22.62
2025-04-20 11:21:44,2.4,1.2,96.4,29.97,18.71,22.62
2025-04-20 11:21:45,1.6,0.7,97.8,29.97,18.71,22.62
2025-04-20 11:21:46,2.2,0.9,96.9,29.97,18.71,22.62
2025-04-20 11:21:48,2.4,0.7,96.9,28.29,18.55,22.55
2025-04-20 11:21:49,2.6,0.3,97.1,28.29,18.55,22.55
2025-04-20 11:21:50,2.2,0.5,97.2,28.29,18.55,22.55
2025-04-20 11:21:51,1.8,0.3,97.9,26.27,18.29,22.44
2025-04-20 11:21:53,2.3,0.4,97.3,26.27,18.29,22.44
2025-04-20 11:21:54,2.2,0.5,96.9,26.27,18.29,22.44
2025-04-20 11:21:55,3.2,0.6,96.2,26.27,18.29,22.44
2025-04-20 11:21:56,2.6,0.7,96.7,24.72,18.10,22.36
2025-04-20 11:21:58,1.8,0.6,97.6,24.72,18.10,22.36
2025-04-20 11:21:59,3.0,1.7,95.2,24.72,18.10,22.36
2025-04-20 11:22:00,6.0,4.1,89.8,24.72,18.10,22.36
2025-04-20 11:22:02,3.8,9.8,86.2,30.11,19.33,22.74
2025-04-20 11:22:04,5.6,12.6,81.7,30.11,19.33,22.74
2025-04-20 11:22:06,3.6,9.6,86.7,30.11,19.33,22.74
2025-04-20 11:22:08,2.7,11.5,85.8,32.83,20.07,22.96
2025-04-20 11:22:10,5.6,9.0,85.3,32.83,20.07,22.96
2025-04-20 11:22:12,2.9,10.8,86.2,41.09,22.00,23.56
2025-04-20 11:22:14,2.6,9.6,87.7,41.09,22.00,23.56
2025-04-20 11:22:16,3.1,10.1,86.7,44.60,23.04,23.89
2025-04-20 11:22:19,5.6,8.9,85.4,44.60,23.04,23.89
2025-04-20 11:22:22,3.7,12.3,83.9,47.84,24.07,24.22
2025-04-20 11:22:24,3.0,13.8,83.1,47.84,24.07,24.22
2025-04-20 11:22:27,3.3,3.3,93.4,46.65,24.22,24.27
2025-04-20 11:22:29,2.9,2.7,94.4,46.65,24.22,24.27
2025-04-20 11:22:31,3.6,3.0,93.4,46.65,24.22,24.27
2025-04-20 11:22:33,3.2,2.5,94.1,45.08,24.27,24.29
2025-04-20 11:22:35,3.5,2.2,94.3,45.08,24.27,24.29
2025-04-20 11:22:36,2.9,3.1,93.8,47.31,25.08,24.55
2025-04-20 11:22:38,3.4,2.5,94.1,47.31,25.08,24.55
2025-04-20 11:22:40,4.6,2.5,92.7,47.31,25.08,24.55
2025-04-20 11:22:42,5.0,2.8,92.1,50.01,26.01,24.85
2025-04-20 11:22:43,3.3,2.0,94.5,50.01,26.01,24.85
2025-04-20 11:22:45,3.8,2.4,93.7,50.01,26.01,24.85
2025-04-20 11:22:47,3.9,2.3,93.7,49.77,26.35,24.97
2025-04-20 11:22:49,2.8,2.3,94.8,49.77,26.35,24.97
2025-04-20 11:22:50,3.3,2.3,94.1,49.77,26.35,24.97
2025-04-20 11:22:52,2.6,4.3,93.0,52.51,27.31,25.29
2025-04-20 11:22:54,3.7,3.8,92.4,52.51,27.31,25.29
2025-04-20 11:22:55,6.6,5.4,87.8,52.51,27.31,25.29
2025-04-20 11:22:57,2.3,4.6,92.9,57.52,28.77,25.77
2025-04-20 11:22:58,2.2,8.4,89.2,57.52,28.77,25.77
2025-04-20 11:23:00,2.1,9.2,88.5,57.52,28.77,25.77
2025-04-20 11:23:02,2.0,12.8,85.1,63.48,30.48,26.34
2025-04-20 11:23:04,2.9,10.3,86.8,63.48,30.48,26.34
2025-04-20 11:23:06,2.8,14.6,82.6,59.20,30.14,26.25
2025-04-20 11:23:09,3.7,11.1,85.2,59.20,30.14,26.25
2025-04-20 11:23:11,2.0,8.9,89.1,59.20,30.14,26.25
2025-04-20 11:23:13,1.6,11.6,86.7,57.74,30.32,26.33
2025-04-20 11:23:16,1.7,14.7,83.6,57.74,30.32,26.33
2025-04-20 11:23:18,2.3,11.9,85.8,53.52,29.90,26.22
2025-04-20 11:23:21,4.1,12.9,83.0,53.52,29.90,26.22
2025-04-20 11:23:23,1.7,11.6,86.7,59.56,31.55,26.77
2025-04-20 11:23:25,4.6,13.7,81.6,59.56,31.55,26.77
2025-04-20 11:23:28,1.9,14.9,83.2,67.36,33.63,27.47
2025-04-20 11:23:30,5.7,11.4,82.8,67.36,33.63,27.47
2025-04-20 11:23:33,1.5,14.6,83.9,75.58,35.89,28.23
2025-04-20 11:23:35,3.8,12.0,84.2,75.58,35.89,28.23
2025-04-20 11:23:38,8.3,12.5,79.2,81.22,37.72,28.87
2025-04-20 11:23:40,3.3,13.0,83.8,81.22,37.72,28.87
2025-04-20 11:23:42,1.7,13.1,85.2,76.48,37.46,28.83
2025-04-20 11:23:45,2.5,13.1,84.4,76.48,37.46,28.83
2025-04-20 11:23:47,2.2,11.8,86.0,86.05,40.09,29.73
2025-04-20 11:23:50,1.9,15.4,82.7,86.05,40.09,29.73
2025-04-20 11:23:52,1.9,11.6,86.5,94.62,42.63,30.61
2025-04-20 11:23:54,1.7,10.1,88.2,94.62,42.63,30.61
2025-04-20 11:23:57,1.9,11.5,86.6,97.05,44.00,31.11
2025-04-20 11:23:59,1.9,10.6,87.5,97.05,44.00,31.11
2025-04-20 11:24:01,1.8,10.3,87.9,100.41,45.58,31.69
2025-04-20 11:24:04,2.6,13.4,84.0,100.41,45.58,31.69
2025-04-20 11:24:06,1.6,12.1,86.3,100.41,45.58,31.69
2025-04-20 11:24:08,1.5,10.5,88.0,94.45,45.25,31.66
2025-04-20 11:24:10,1.9,14.8,83.4,94.45,45.25,31.66
2025-04-20 11:24:13,1.5,13.5,85.0,87.69,44.67,31.54
2025-04-20 11:24:15,2.2,11.9,85.8,87.69,44.67,31.54
2025-04-20 11:24:18,2.1,12.3,85.6,82.19,44.24,31.48
2025-04-20 11:24:20,5.5,11.2,83.3,82.19,44.24,31.48
2025-04-20 11:24:22,2.4,10.6,87.0,77.21,43.84,31.42
2025-04-20 11:24:25,2.1,12.0,85.9,77.21,43.84,31.42
2025-04-20 11:24:27,2.4,13.0,84.5,76.47,44.24,31.61
2025-04-20 11:24:30,2.4,11.0,86.5,76.47,44.24,31.61
2025-04-20 11:24:32,2.7,12.7,84.5,74.43,44.35,31.72
2025-04-20 11:24:34,3.0,15.3,81.7,74.43,44.35,31.72
2025-04-20 11:24:36,3.8,10.0,86.2,78.00,45.59,32.19
2025-04-20 11:24:38,1.9,14.1,84.0,78.00,45.59,32.19
2025-04-20 11:24:41,2.5,10.2,87.2,78.00,45.59,32.19
2025-04-20 11:24:43,2.1,12.0,85.9,84.49,47.47,32.87
2025-04-20 11:24:45,5.0,15.5,79.5,84.49,47.47,32.87
2025-04-20 11:24:47,2.3,13.4,84.2,80.92,47.35,32.91
2025-04-20 11:24:50,2.4,12.4,85.1,80.92,47.35,32.91
2025-04-20 11:24:52,2.3,13.1,84.6,82.85,48.31,33.29
2025-04-20 11:24:54,2.3,11.8,85.8,82.85,48.31,33.29
2025-04-20 11:24:56,2.3,12.7,85.0,79.58,48.20,33.34
2025-04-20 11:24:58,2.0,10.4,87.5,79.58,48.20,33.34
2025-04-20 11:25:01,2.0,13.4,84.5,79.58,48.20,33.34
2025-04-20 11:25:03,1.7,12.5,85.7,79.85,48.78,33.61
2025-04-20 11:25:05,2.5,12.6,84.9,79.85,48.78,33.61
2025-04-20 11:25:07,3.2,11.2,85.5,88.59,51.11,34.44
2025-04-20 11:25:09,2.4,10.1,87.4,88.59,51.11,34.44
2025-04-20 11:25:11,3.0,8.6,88.4,88.59,51.11,34.44
2025-04-20 11:25:13,2.7,9.0,88.2,96.23,53.31,35.25
2025-04-20 11:25:15,2.1,10.1,87.8,96.23,53.31,35.25
