ts,cfg,pid,mib,total_mib,bodies_mean,motors_mean,epoch
1788652432,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652432,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652437,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652437,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652442,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652442,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652447,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652447,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652453,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652453,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652458,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652458,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652463,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652463,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652468,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652468,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652473,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652473,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652478,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652478,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652484,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652484,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652489,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652489,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652494,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652494,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652499,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652499,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652504,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652504,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652509,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652509,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652514,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652515,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652520,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652520,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652525,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652525,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652530,rtg_e4r_s1,694927,6198,12930,18.05,8.35,10
1788652530,rtg_e4r_s2,695070,6336,12930,20.15,9.65,10
1788652535,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652535,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652540,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652540,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652545,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652545,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652551,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652551,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652556,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652556,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652561,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652561,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652566,rtg_e4r_s1,694927,6198,12932,18.05,8.35,10
1788652566,rtg_e4r_s2,695070,6338,12932,20.15,9.65,10
1788652572,rtg_e4r_s1,694927,6198,9440,18.05,8.35,10
1788652572,rtg_e4r_s2,695070,2846,9440,20.15,9.65,10
1788652577,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652577,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652582,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652582,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652587,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652587,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652592,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652592,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652597,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652597,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652603,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652603,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652608,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652608,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652613,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652613,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652618,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652618,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652623,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652623,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652629,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652629,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652634,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652634,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652639,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652639,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652645,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652645,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652650,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652650,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652656,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652656,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652661,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652661,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652666,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652666,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652672,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652672,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652677,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652677,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652682,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652683,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652688,rtg_e4r_s1,694927,2798,6040,18.7,9.05,11
1788652688,rtg_e4r_s2,695070,2846,6040,19.25,9.45,11
1788652693,rtg_e4r_s1,694927,2798,7910,18.7,9.05,11
1788652693,rtg_e4r_s2,695070,4716,7910,19.25,9.45,11
1788652698,rtg_e4r_s1,694927,2834,8020,18.7,9.05,11
1788652698,rtg_e4r_s2,695070,4792,8020,19.25,9.45,11
1788652703,rtg_e4r_s1,694927,6290,11478,18.7,9.05,11
1788652703,rtg_e4r_s2,695070,4792,11478,19.25,9.45,11
1788652708,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652708,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652714,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652714,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652719,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652719,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652724,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652724,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652729,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652729,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652734,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652734,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652739,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652739,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652744,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652744,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652750,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652750,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652755,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652755,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652760,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652760,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652765,rtg_e4r_s1,694927,6360,11548,18.7,9.05,11
1788652765,rtg_e4r_s2,695070,4792,11548,19.25,9.45,11
1788652770,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652770,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652775,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652775,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652781,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652781,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652786,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652786,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652791,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652791,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652796,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652796,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652801,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652801,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652806,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652806,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652812,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652812,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
